Date : 2024-08-25 14:45:44
Directory : /Users/wangrundong/Documents/Projects/QtQQ
Total : 216 files,  127651 codes, 2188 comments, 3658 blanks, all 133497 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |         95 |     63,218 |      1,882 |      2,132 |     67,232 |
| JSON        |         40 |     49,956 |          0 |         38 |     49,994 |
| CMake       |         36 |      5,391 |          0 |        657 |      6,048 |
| XML         |         13 |      3,716 |          0 |         14 |      3,730 |
| CMake Cache |          2 |      2,596 |          0 |        241 |      2,837 |
| CSS         |         10 |      1,079 |          4 |        171 |      1,254 |
| Makefile    |          2 |        797 |        219 |        299 |      1,315 |
| YAML        |          2 |        468 |          4 |         40 |        512 |
| JavaScript  |          3 |        383 |         79 |         53 |        515 |
| HTML        |          3 |         23 |          0 |          3 |         26 |
| TypeScript  |          7 |         14 |          0 |          7 |         21 |
| Log         |          2 |          6 |          0 |          2 |          8 |
| Ini         |          1 |          4 |          0 |          1 |          5 |
+-------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |        216 |    127,651 |      2,188 |      3,658 |    133,497 |
| . (Files)                                                                                                                                                                      |         56 |      6,114 |        178 |        783 |      7,075 |
| QtQQ_Server                                                                                                                                                                    |         59 |     28,964 |        239 |        962 |     30,165 |
| QtQQ_Server (Files)                                                                                                                                                            |          9 |        892 |         18 |        130 |      1,040 |
| QtQQ_Server/build                                                                                                                                                              |         50 |     28,072 |        221 |        832 |     29,125 |
| QtQQ_Server/build/Qt_6_6_3-Debug                                                                                                                                               |         50 |     28,072 |        221 |        832 |     29,125 |
| QtQQ_Server/build/Qt_6_6_3-Debug (Files)                                                                                                                                       |          4 |      1,497 |         79 |        214 |      1,790 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.cmake                                                                                                                                        |         16 |     18,366 |          0 |         16 |     18,382 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api                                                                                                                                    |         16 |     18,366 |          0 |         16 |     18,382 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1                                                                                                                                 |         16 |     18,366 |          0 |         16 |     18,382 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply                                                                                                                           |          8 |      9,183 |          0 |          8 |      9,191 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev                                                                                                                      |          8 |      9,183 |          0 |          8 |      9,191 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.qt                                                                                                                                           |          1 |         61 |          0 |          5 |         66 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.qtc                                                                                                                                          |          3 |      1,716 |          0 |        237 |      1,953 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.qtc/package-manager                                                                                                                          |          3 |      1,716 |          0 |        237 |      1,953 |
| QtQQ_Server/build/Qt_6_6_3-Debug/.qtc_clangd                                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles                                                                                                                                    |         17 |      2,019 |         64 |        244 |      2,327 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles (Files)                                                                                                                            |          3 |        574 |          2 |         31 |        607 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2                                                                                                                             |          3 |        795 |         62 |        181 |      1,038 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2 (Files)                                                                                                                     |          2 |         88 |          0 |         30 |        118 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/3.30.2/CompilerIdCXX                                                                                                               |          1 |        707 |         62 |        151 |        920 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server.dir                                                                                                                    |          3 |         51 |          0 |         10 |         61 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen.dir                                                                                                            |          5 |        577 |          0 |         12 |        589 |
| QtQQ_Server/build/Qt_6_6_3-Debug/CMakeFiles/QtQQ_Server_autogen_timestamp_deps.dir                                                                                             |          3 |         22 |          0 |         10 |         32 |
| QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen                                                                                                                           |          7 |      4,409 |         78 |        115 |      4,602 |
| QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen (Files)                                                                                                                   |          2 |        483 |          1 |          2 |        486 |
| QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/EWIEGA46WW                                                                                                                |          4 |      3,722 |         70 |         80 |      3,872 |
| QtQQ_Server/build/Qt_6_6_3-Debug/QtQQ_Server_autogen/include                                                                                                                   |          1 |        204 |          7 |         33 |        244 |
| QtQQ_Server/build/Qt_6_6_3-Debug/Testing                                                                                                                                       |          1 |          3 |          0 |          1 |          4 |
| QtQQ_Server/build/Qt_6_6_3-Debug/Testing/Temporary                                                                                                                             |          1 |          3 |          0 |          1 |          4 |
| Resources                                                                                                                                                                      |         16 |      1,485 |         83 |        227 |      1,795 |
| Resources/MainWindow                                                                                                                                                           |          7 |        490 |         79 |         68 |        637 |
| Resources/MainWindow/MsgHtml                                                                                                                                                   |          7 |        490 |         79 |         68 |        637 |
| Resources/QSS                                                                                                                                                                  |          9 |        995 |          4 |        159 |      1,158 |
| build                                                                                                                                                                          |         85 |     91,088 |      1,688 |      1,686 |     94,462 |
| build/Qt_6_6_3-Debug                                                                                                                                                           |         85 |     91,088 |      1,688 |      1,686 |     94,462 |
| build/Qt_6_6_3-Debug (Files)                                                                                                                                                   |          4 |      2,018 |        140 |        348 |      2,506 |
| build/Qt_6_6_3-Debug/.cmake                                                                                                                                                    |         18 |     29,130 |          0 |         18 |     29,148 |
| build/Qt_6_6_3-Debug/.cmake/api                                                                                                                                                |         18 |     29,130 |          0 |         18 |     29,148 |
| build/Qt_6_6_3-Debug/.cmake/api/v1                                                                                                                                             |         18 |     29,130 |          0 |         18 |     29,148 |
| build/Qt_6_6_3-Debug/.cmake/api/v1/reply                                                                                                                                       |          9 |     14,565 |          0 |          9 |     14,574 |
| build/Qt_6_6_3-Debug/.cmake/api/v1/reply.prev                                                                                                                                  |          9 |     14,565 |          0 |          9 |     14,574 |
| build/Qt_6_6_3-Debug/.qt                                                                                                                                                       |          2 |         80 |          0 |          9 |         89 |
| build/Qt_6_6_3-Debug/.qt (Files)                                                                                                                                               |          1 |         63 |          0 |          5 |         68 |
| build/Qt_6_6_3-Debug/.qt/deploy_qml_imports                                                                                                                                    |          1 |         17 |          0 |          4 |         21 |
| build/Qt_6_6_3-Debug/.qt_plugins                                                                                                                                               |          1 |          1 |          0 |          2 |          3 |
| build/Qt_6_6_3-Debug/.qtc                                                                                                                                                      |          3 |      1,716 |          0 |        237 |      1,953 |
| build/Qt_6_6_3-Debug/.qtc/package-manager                                                                                                                                      |          3 |      1,716 |          0 |        237 |      1,953 |
| build/Qt_6_6_3-Debug/.qtc_clangd                                                                                                                                               |          1 |          1 |          0 |          0 |          1 |
| build/Qt_6_6_3-Debug/CMakeFiles                                                                                                                                                |         20 |      4,030 |         64 |        254 |      4,348 |
| build/Qt_6_6_3-Debug/CMakeFiles (Files)                                                                                                                                        |          3 |      1,131 |          2 |         31 |      1,164 |
| build/Qt_6_6_3-Debug/CMakeFiles/3.30.2                                                                                                                                         |          3 |        795 |         62 |        181 |      1,038 |
| build/Qt_6_6_3-Debug/CMakeFiles/3.30.2 (Files)                                                                                                                                 |          2 |         88 |          0 |         30 |        118 |
